Expense,amount,date,category
Suica,10.42,01-01-2024,Transportation
"Yamashitahonkiudonshib, Tokyo",62.44,01-01-2024,Restaurants & Takeaway
Lawson,15.78,01-01-2024,Restaurants & Takeaway
Lawson,2.29,01-01-2024,Restaurants & Takeaway
Lawson,8.62,01-01-2024,Restaurants & Takeaway
Suica,10.42,01-01-2024,Transportation
Kamakura Chacha,6.15,01-01-2024,Restaurants & Takeaway
Iwakura,29.79,01-01-2024,Clothing & Accessories
The Factory(Burgers),28.96,01-01-2024,Restaurants & Takeaway
Beem,9.0,01-01-2024,Other
Royal Gate,4.69,01-01-2024,Other
Suica,5.21,01-01-2024,Transportation
Mcdonalds,32.29,01-01-2024,Restaurants & Takeaway
Lawson,1.89,02-01-2024,Restaurants & Takeaway
MEGA Don Quijote,88.03,02-01-2024,Shopping
Suica,5.21,02-01-2024,Transportation
7-11,4.58,02-01-2024,Restaurants & Takeaway
National Museum of Nature and Science,6.56,02-01-2024,Entertainment & Recreation
Tokyo National Museum,10.42,02-01-2024,Entertainment & Recreation
JR East Shopping Centre,11.77,02-01-2024,Restaurants & Takeaway
Suica,5.21,02-01-2024,Transportation
Beem,25.0,02-01-2024,Other
Narita International Airport,1.35,02-01-2024,Restaurants & Takeaway
Tokyo Disney Resort,33.92,03-01-2024,Entertainment & Recreation
Lawson,0.3,03-01-2024,Restaurants & Takeaway
7-11,9.5,03-01-2024,Restaurants & Takeaway
Spotify,6.99,03-01-2024,Entertainment & Recreation
Beem,26.0,03-01-2024,Restaurants & Takeaway
"Tu Kab Khao, Phuket",165.19,04-01-2024,Restaurants & Takeaway
Tops Daily,10.22,05-01-2024,Other
"Passion Burning, Phuket",52.8,05-01-2024,Other
Anytime Fitness,19.95,05-01-2024,Fitness & Health
KUDO Hotel,33.89,05-01-2024,Other
Beem,5.0,06-01-2024,Other
7-11,9.98,07-01-2024,Restaurants & Takeaway
Illuzion Phuket,22.98,07-01-2024,Entertainment & Recreation
Illuzion Phuket,35.85,07-01-2024,Entertainment & Recreation
ATM Cash out,104.95,07-01-2024,Other
Beem,10.0,07-01-2024,Other
Burger King,21.8,08-01-2024,Restaurants & Takeaway
Dairy Queen,3.5,08-01-2024,Restaurants & Takeaway
Phuket Wine Lover,8.32,08-01-2024,Restaurants & Takeaway
Beem,1.5,08-01-2024,Other
Beat Active,433.36,09-01-2024,Entertainment & Recreation
Ginger Farm Kitchen,27.89,09-01-2024,Restaurants & Takeaway
Krispy Kreme,1.52,09-01-2024,Restaurants & Takeaway
KFC,7.67,10-01-2024,Restaurants & Takeaway
Bangkok River Cruise,233.75,10-01-2024,Entertainment & Recreation
Brian Chan,3.0,10-01-2024,Transportation
Shake Shack,16.58,10-01-2024,Restaurants & Takeaway
Oakberry,7.75,10-01-2024,Restaurants & Takeaway
Lunch,20.0,10-01-2024,Restaurants & Takeaway
Swensens,5.94,10-01-2024,Restaurants & Takeaway
DInner,6.0,11-01-2024,Restaurants & Takeaway
7-11,9.28,11-01-2024,Restaurants & Takeaway
"Food, Empshere",59.73,11-01-2024,Restaurants & Takeaway
IKEA,2.11,11-01-2024,Restaurants & Takeaway
Arabica Bangkok,7.76,12-01-2024,Restaurants & Takeaway
EmQuartier,8.58,12-01-2024,Other
ThongSmith,102.91,12-01-2024,Restaurants & Takeaway
Anytime Fitness,19.95,12-01-2024,Fitness & Health
Sukhumvit City Mall,30.41,12-01-2024,Shopping
Thongyoy Cafe,7.76,13-01-2024,Restaurants & Takeaway
One Minute Gormet,9.01,13-01-2024,Restaurants & Takeaway
Amazon,21.0,14-01-2024,Beauty & Hair
Woolworth,6.4,16-01-2024,Groceries
W Cosmetics,32.0,18-01-2024,Beauty & Hair
Priceline Pharmacy,4.49,18-01-2024,Fitness & Health
Anytime Fitness,19.95,19-01-2024,Fitness & Health
Hoon,50.8,20-01-2024,Beauty & Hair
Woolworths,5.5,20-01-2024,Groceries
Woolworths,13.45,21-01-2024,Groceries
Yo! Sushi,13.2,22-01-2024,Restaurants & Takeaway
Gold Coast Airport,30.33,22-01-2024,Transportation
Woolworths,2.0,22-01-2024,Groceries
Starbucks,7.9,23-01-2024,Restaurants & Takeaway
Woolworths,1.25,23-01-2024,Groceries
Joe's Famous Deli,19.72,23-01-2024,Restaurants & Takeaway
Translink,20.0,24-01-2024,Transportation
Netflix,22.99,24-01-2024,Entertainment & Recreation
Chemist Warehouse,4.49,25-01-2024,Fitness & Health
Woolworths,48.85,26-01-2024,Groceries
Strathfield Sports Club,37.5,26-01-2024,Entertainment & Recreation
Beem,30.0,27-01-2024,Entertainment & Recreation
Fruitologist,22.5,28-01-2024,Restaurants & Takeaway
Strathfield Sports Club,8.0,28-01-2024,Entertainment & Recreation
Beem,40.0,28-01-2024,Restaurants & Takeaway
Strathfield Sports Club,16.2,28-01-2024,Restaurants & Takeaway
Transport for NSW,2.9,29-01-2024,Transportation
Anytime Fitness,19.95,29-01-2024,Fitness & Health
Youtube,16.99,31-01-2024,Entertainment & Recreation
Metro Petroleum,49.67,31-01-2024,Transportation
Officeworks,4.18,31-01-2024,Shopping
Chemist Warehouse,19.9,31-01-2024,Beauty & Hair
Yo-Chi,31.13,31-01-2024,Restaurants & Takeaway
